Player1,Player2,Net_Rating,ORtg,DRtg,Minutes,Category,Player1_Order,Player2_Order,Insight
A'ja Wilson,Kierstan Bell,16.2,110.5,94.3,4807,Elite,1,6,"Bell's spacing opens paint for Wilson; excellent defensive pairing"
A'ja Wilson,Jackie Young,13.6,113.7,100.2,22260,Elite,1,2,"Foundation pairing - highest minutes together; elite two-way combo"
Chelsea Gray,A'ja Wilson,12.8,114.5,101.7,20102,Elite,3,1,"Primary offensive engine; Gray's playmaking maximizes Wilson"
A'ja Wilson,Aaliyah Nye,12.7,110.6,97.9,6327,High,1,8,"Wilson's presence covers Nye's weaknesses"
A'ja Wilson,NaLyssa Smith,12.7,114.2,101.5,9920,High,1,5,"Twin Towers; paint dominance and rebounding"
Jewell Loyd,A'ja Wilson,11.7,113.8,102.1,16701,High,4,1,"Ball security + rim protection; solid two-way pairing"
Chelsea Gray,Kierstan Bell,11.6,108.9,97.3,5415,High,3,6,"Gray creates open looks for Bell's 3PT attempts"
Chelsea Gray,Jackie Young,11.0,113.1,102.1,22380,High,3,2,"Dual ball-handler backcourt; highest minutes pairing"
Jackie Young,NaLyssa Smith,10.9,113.1,102.1,10240,High,2,5,"Young's creation feeds Smith in paint"
A'ja Wilson,Dana Evans,10.6,109.1,98.5,8120,High,1,7,"Wilson stabilizes Evans' negative impact"
Jackie Young,Kierstan Bell,9.7,104.6,94.9,5840,Moderate,2,6,"Young creates for Bell; defensive versatility"
Jewell Loyd,NaLyssa Smith,9.6,111.0,101.4,7400,Moderate,4,5,"Solid bench core pairing"
Kierstan Bell,NaLyssa Smith,9.6,109.0,99.4,3660,Moderate,6,5,"Floor balance: spacing + paint presence"
Jewell Loyd,Jackie Young,9.0,111.6,102.6,9450,Moderate,4,2,"Backcourt depth when Gray rests"
Jackie Young,Aaliyah Nye,14.2,112.5,98.3,6460,High,2,8,"Young covers for Nye defensively"
Chelsea Gray,NaLyssa Smith,7.9,112.2,104.3,10050,Moderate,3,5,"Gray facilitates Smith's interior scoring"
Chelsea Gray,Jewell Loyd,6.1,111.3,105.2,9920,Moderate,3,4,"Ball security duo; Gray's TOV% covered by Loyd"
Jewell Loyd,Kierstan Bell,5.2,100.6,95.5,2983,Low,4,6,"Limited offensive creation between them"
Jackie Young,Dana Evans,4.7,106.1,101.4,7960,Low,2,7,"Young stabilizes but Evans limits ceiling"
Chelsea Gray,Aaliyah Nye,0.3,112.2,111.9,7809,Caution,3,8,"Defensive liability when paired"
Jewell Loyd,Dana Evans,-0.6,102.4,103.0,9840,Caution,4,7,"Ball movement problems; neither creates well"
Jewell Loyd,Aaliyah Nye,-0.9,108.0,108.8,7068,Caution,4,8,"Neutral impact; limited upside"
Chelsea Gray,Dana Evans,-1.3,108.6,109.9,7960,Avoid,3,7,"Turnover cascade risk; redundant ball-handlers"
Dana Evans,Kierstan Bell,-2.1,90.9,93.0,3600,Avoid,7,6,"Spacing illusion - high 3PT rate but poor conversion"
NaLyssa Smith,Aaliyah Nye,-6.4,98.1,104.5,2860,Avoid,5,8,"Neither can create; limited playmaking"
Dana Evans,Aaliyah Nye,-12.2,92.5,104.7,Never,7,8,"DISASTER: Combined -12.2 in 8320 minutes"
Kierstan Bell,Aaliyah Nye,-15.4,83.8,99.2,2546,Never,6,8,"NEVER: Spacing illusion - 83.8 ORtg catastrophic"
